git_pushes,iso2_code,year,quarter,gpt_available,post_1,post_2,gpt_available_post1,gpt_available_post2,year_quarter_num,population,pushes_pc
50932,GT,2020,1,1,0,0,0,0,1,15806675,0.0032221830334336603
48152,JO,2020,1,1,0,0,0,0,1,6666960,0.007222482210782725
45559,MD,2020,1,1,0,0,0,0,1,3557600,0.012806105239487294
44033,BA,2020,1,1,0,0,0,0,1,3791622,0.011613235707567896
43704,GH,2020,1,1,0,0,0,0,1,27043093,0.001616087331430617
42571,DZ,2020,1,1,0,0,0,0,1,38700000,0.0011000258397932817
42148,MM,2020,1,1,0,0,0,0,1,54688774,0.000770688331758909
40367,KG,2020,1,1,0,0,0,0,1,5776570,0.0069880569265152155
38753,BO,2020,1,1,0,0,0,0,1,10027254,0.0038647669641159984
37831,UG,2020,1,1,0,0,0,0,1,34856813,0.0010853258443335023
34849,RW,2020,1,1,0,0,0,0,1,10996891,0.003168986579934274
34442,GE,2020,1,1,0,0,0,0,1,4490500,0.00766996993653268
33399,UZ,2020,1,0,0,0,0,0,1,30492800,0.0010953077447790954
33263,LU,2020,1,1,0,0,0,0,1,549700,0.06051118792068401
31410,AZ,2020,1,1,0,0,0,0,1,9552500,0.0032881444647997905
30408,IS,2020,1,1,0,0,0,0,1,328170,0.09265929243989396
29501,SV,2020,1,1,0,0,0,0,1,6401240,0.004608638326324275
29475,MK,2020,1,1,0,0,0,0,1,2058539,0.014318407375327842
27612,PS,2020,1,1,0,0,0,0,1,5483450,0.0050355159616664695
27609,KH,2020,1,0,0,0,0,0,1,15184116,0.0018182816833064235
26822,HN,2020,1,1,0,0,0,0,1,8725111,0.0030741156187010115
25121,AL,2020,1,1,0,0,0,0,1,2895947,0.008674537206654679
24565,LB,2020,1,1,0,0,0,0,1,4104000,0.0059856237816764135
22745,MT,2020,1,1,0,0,0,0,1,416055,0.054668252995397244
20695,ET,2020,1,0,0,0,0,0,1,87952991,0.00023529614814350088
20651,IQ,2020,1,1,0,0,0,0,1,36004552,0.0005735663646085639
18874,CY,2020,1,1,0,0,0,0,1,858000,0.021997668997668997
17736,CM,2020,1,0,0,0,0,0,1,20386799,0.0008699747321784063
17487,TZ,2020,1,1,0,0,0,0,1,47421786,0.0003687545635670491
16034,PY,2020,1,1,0,0,0,0,1,6893727,0.0023258826466438258
14545,CU,2020,1,0,0,0,0,0,1,11210064,0.001297494822509488
14099,PR,2020,1,0,0,0,0,0,1,3615086,0.003900045531420276
13276,PA,2020,1,1,0,0,0,0,1,3713312,0.003575244956523987
13000,MG,2020,1,1,0,0,0,0,1,21842167,0.0005951790406144226
13000,SN,2020,1,1,0,0,0,0,1,13508715,0.0009623417179206164
11968,NI,2020,1,1,0,0,0,0,1,6134270,0.001951006395218991
11484,JM,2020,1,1,0,0,0,0,1,2717991,0.004225179553574681
9562,KW,2020,1,1,0,0,0,0,1,3268431,0.002925562754728492
9442,MU,2020,1,1,0,0,0,0,1,1261208,0.007486473285929046
9361,MN,2020,1,1,0,0,0,0,1,2987733,0.00313314476226624
8985,CI,2020,1,1,0,0,0,0,1,23821000,0.0003771881952898703
8444,ME,2020,1,1,0,0,0,0,1,602445,0.01401621724804754
8116,ZW,2020,1,0,0,0,0,0,1,13061239,0.0006213805596850345
7849,RE,2020,1,0,0,0,0,0,1,840974,0.009333225521835395
7506,QA,2020,1,1,0,0,0,0,1,2269672,0.003307085781557864
7487,MO,2020,1,0,0,0,0,0,1,631000,0.011865293185419968
6755,TT,2020,1,1,0,0,0,0,1,1328019,0.005086523611484474
6726,SY,2020,1,0,0,0,0,0,1,22964324,0.0002928890917929916
5482,SD,2020,1,0,0,0,0,0,1,37289406,0.00014701226401943757
5312,AO,2020,1,1,0,0,0,0,1,24383301,0.00021785401410580134
4989,TJ,2020,1,0,0,0,0,0,1,8161000,0.0006113221418943757
4869,ZM,2020,1,1,0,0,0,0,1,15023315,0.0003240962464010107
4663,MZ,2020,1,1,0,0,0,0,1,25041922,0.0001862077519449186
4659,BH,2020,1,0,0,0,0,0,1,1316500,0.0035389289783516902
4382,CD,2020,1,0,0,0,0,0,1,69360000,6.317762399077278e-05
3614,BJ,2020,1,1,0,0,0,0,1,9988068,0.00036183173762933935
3576,YE,2020,1,0,0,0,0,0,1,25956000,0.00013777161349976883
3543,OM,2020,1,1,0,0,0,0,1,4089076,0.0008664549154870195
3448,HT,2020,1,1,0,0,0,0,1,10745665,0.0003208735801832646
2962,LA,2020,1,0,0,0,0,0,1,6693300,0.0004425320843231291
2909,MV,2020,1,1,0,0,0,0,1,341256,0.008524392245118034
2594,NC,2020,1,0,0,0,0,0,1,268767,0.009651482510873732
2434,BB,2020,1,1,0,0,0,0,1,285000,0.008540350877192982
2356,LY,2020,1,0,0,0,0,0,1,6253000,0.00037677914600991525
2277,AF,2020,1,0,0,0,0,0,1,26023100,8.749918341780956e-05
2215,BN,2020,1,1,0,0,0,0,1,393372,0.005630802395696694
2016,MW,2020,1,1,0,0,0,0,1,15805239,0.00012755264251303002
1945,TG,2020,1,1,0,0,0,0,1,6993000,0.00027813527813527815
1821,BW,2020,1,1,0,0,0,0,1,2024904,0.0008993018928304749
1338,SO,2020,1,0,0,0,0,0,1,10806000,0.0001238200999444753
1285,CV,2020,1,1,0,0,0,0,1,518467,0.0024784605384720725
1029,BF,2020,1,1,0,0,0,0,1,17322796,5.9401496155701426e-05
704,SL,2020,1,1,0,0,0,0,1,6205000,0.00011345688960515714
23736592,US,2020,2,1,0,0,0,0,2,319259000,0.07434901443655464
7346825,IN,2020,2,1,0,0,0,0,2,1263930000,0.0058126834555711155
6296259,CN,2020,2,0,0,0,0,0,2,1367110000,0.004605524793176848
4513691,GB,2020,2,1,0,0,0,0,2,64105654,0.07041018566006674
4211265,DE,2020,2,1,0,0,0,0,2,80783000,0.052130584405134746
3634133,BR,2020,2,1,0,0,0,0,2,203586000,0.017850603676087748
3453560,RU,2020,2,0,0,0,0,0,2,146233000,0.023616830674334795
3364046,FR,2020,2,1,0,0,0,0,2,66078000,0.050910227307121886
